Entity,Code,Year,LGBT+ employment discrimination (historical)
Czechia,CZE,2021,Sexual orientation and gender identity
Czechia,CZE,2022,Sexual orientation and gender identity
Czechia,CZE,2023,Sexual orientation and gender identity
Czechia,CZE,2024,Sexual orientation and gender identity
Democratic Republic of Congo,COD,1960,No protections
Democratic Republic of Congo,COD,1961,No protections
Democratic Republic of Congo,COD,1962,No protections
Democratic Republic of Congo,COD,1963,No protections
Democratic Republic of Congo,COD,1964,No protections
Democratic Republic of Congo,COD,1965,No protections
Democratic Republic of Congo,COD,1966,No protections
Democratic Republic of Congo,COD,1967,No protections
Democratic Republic of Congo,COD,1968,No protections
Democratic Republic of Congo,COD,1969,No protections
Democratic Republic of Congo,COD,1970,No protections
Democratic Republic of Congo,COD,1971,No protections
Democratic Republic of Congo,COD,1972,No protections
Democratic Republic of Congo,COD,1973,No protections
Democratic Republic of Congo,COD,1974,No protections
Democratic Republic of Congo,COD,1975,No protections
Democratic Republic of Congo,COD,1976,No protections
Democratic Republic of Congo,COD,1977,No protections
Democratic Republic of Congo,COD,1978,No protections
Democratic Republic of Congo,COD,1979,No protections
Democratic Republic of Congo,COD,1980,No protections
Democratic Republic of Congo,COD,1981,No protections
Democratic Republic of Congo,COD,1982,No protections
Democratic Republic of Congo,COD,1983,No protections
Democratic Republic of Congo,COD,1984,No protections
Democratic Republic of Congo,COD,1985,No protections
Democratic Republic of Congo,COD,1986,No protections
Democratic Republic of Congo,COD,1987,No protections
Democratic Republic of Congo,COD,1988,No protections
Democratic Republic of Congo,COD,1989,No protections
Democratic Republic of Congo,COD,1990,No protections
Democratic Republic of Congo,COD,1991,No protections
Democratic Republic of Congo,COD,1992,No protections
Democratic Republic of Congo,COD,1993,No protections
Democratic Republic of Congo,COD,1994,No protections
Democratic Republic of Congo,COD,1995,No protections
Democratic Republic of Congo,COD,1996,No protections
Democratic Republic of Congo,COD,1997,No protections
Democratic Republic of Congo,COD,1998,No protections
Democratic Republic of Congo,COD,1999,No protections
Democratic Republic of Congo,COD,2000,No protections
Democratic Republic of Congo,COD,2001,No protections
Democratic Republic of Congo,COD,2002,No protections
Democratic Republic of Congo,COD,2003,No protections
Democratic Republic of Congo,COD,2004,No protections
Democratic Republic of Congo,COD,2005,No protections
Democratic Republic of Congo,COD,2006,No protections
Democratic Republic of Congo,COD,2007,No protections
Democratic Republic of Congo,COD,2008,No protections
Democratic Republic of Congo,COD,2009,No protections
Democratic Republic of Congo,COD,2010,No protections
Democratic Republic of Congo,COD,2011,No protections
Democratic Republic of Congo,COD,2012,No protections
Democratic Republic of Congo,COD,2013,No protections
Democratic Republic of Congo,COD,2014,No protections
Democratic Republic of Congo,COD,2015,No protections
Democratic Republic of Congo,COD,2016,No protections
Democratic Republic of Congo,COD,2017,No protections
Democratic Republic of Congo,COD,2018,No protections
Democratic Republic of Congo,COD,2019,No protections
Democratic Republic of Congo,COD,2020,No protections
Democratic Republic of Congo,COD,2021,No protections
Democratic Republic of Congo,COD,2022,No protections
Democratic Republic of Congo,COD,2023,No protections
Democratic Republic of Congo,COD,2024,No protections
Denmark,DNK,1996,Sexual orientation and gender identity
Denmark,DNK,1997,Sexual orientation and gender identity
Denmark,DNK,1998,Sexual orientation and gender identity
Denmark,DNK,1999,Sexual orientation and gender identity
Denmark,DNK,2000,Sexual orientation and gender identity
Denmark,DNK,2001,Sexual orientation and gender identity
Denmark,DNK,2002,Sexual orientation and gender identity
Denmark,DNK,2003,Sexual orientation and gender identity
Denmark,DNK,2004,Sexual orientation and gender identity
Denmark,DNK,2005,Sexual orientation and gender identity
Denmark,DNK,2006,Sexual orientation and gender identity
Denmark,DNK,2007,Sexual orientation and gender identity
Denmark,DNK,2008,Sexual orientation and gender identity
Denmark,DNK,2009,Sexual orientation and gender identity
Denmark,DNK,2010,Sexual orientation and gender identity
Denmark,DNK,2011,Sexual orientation and gender identity
Denmark,DNK,2012,Sexual orientation and gender identity
Denmark,DNK,2013,Sexual orientation and gender identity
Denmark,DNK,2014,Sexual orientation and gender identity
Denmark,DNK,2015,Sexual orientation and gender identity
Denmark,DNK,2016,Sexual orientation and gender identity
Denmark,DNK,2017,Sexual orientation and gender identity
Denmark,DNK,2018,Sexual orientation and gender identity
Denmark,DNK,2019,Sexual orientation and gender identity
Denmark,DNK,2020,Sexual orientation and gender identity
Denmark,DNK,2021,Sexual orientation and gender identity
Denmark,DNK,2022,Sexual orientation and gender identity
Denmark,DNK,2023,Sexual orientation and gender identity
Denmark,DNK,2024,Sexual orientation and gender identity
Djibouti,DJI,2024,No protections
Dominica,DMA,2024,No protections
Dominican Republic,DOM,2000,Ambiguous
Dominican Republic,DOM,2001,Ambiguous
Dominican Republic,DOM,2002,Ambiguous
Dominican Republic,DOM,2003,Ambiguous
Dominican Republic,DOM,2004,Ambiguous
Dominican Republic,DOM,2005,Ambiguous
Dominican Republic,DOM,2006,Ambiguous
Dominican Republic,DOM,2007,Ambiguous
Dominican Republic,DOM,2008,Ambiguous
Dominican Republic,DOM,2009,Ambiguous
Dominican Republic,DOM,2010,Ambiguous
Dominican Republic,DOM,2011,Ambiguous
Dominican Republic,DOM,2012,Ambiguous
Dominican Republic,DOM,2013,Ambiguous
Dominican Republic,DOM,2014,Ambiguous
Dominican Republic,DOM,2015,Ambiguous
Dominican Republic,DOM,2016,Ambiguous
Dominican Republic,DOM,2017,Ambiguous
Dominican Republic,DOM,2018,Ambiguous
Dominican Republic,DOM,2019,Ambiguous
Dominican Republic,DOM,2020,Ambiguous
Dominican Republic,DOM,2021,Ambiguous
Dominican Republic,DOM,2022,Ambiguous
Dominican Republic,DOM,2023,Ambiguous
Dominican Republic,DOM,2024,Ambiguous
East Timor,TLS,2024,No protections
Ecuador,ECU,2018,Sexual orientation and gender identity
Ecuador,ECU,2019,Sexual orientation and gender identity
Ecuador,ECU,2020,Sexual orientation and gender identity
Ecuador,ECU,2021,Sexual orientation and gender identity
Ecuador,ECU,2022,Sexual orientation and gender identity
Ecuador,ECU,2023,Sexual orientation and gender identity
Ecuador,ECU,2024,Sexual orientation and gender identity
Egypt,EGY,1971,No protections
Egypt,EGY,1972,No protections
Egypt,EGY,1973,No protections
Egypt,EGY,1974,No protections
Egypt,EGY,1975,No protections
Egypt,EGY,1976,No protections
Egypt,EGY,1977,No protections
Egypt,EGY,1978,No protections
Egypt,EGY,1979,No protections
Egypt,EGY,1980,No protections
Egypt,EGY,1981,No protections
Egypt,EGY,1982,No protections
Egypt,EGY,1983,No protections
Egypt,EGY,1984,No protections
Egypt,EGY,1985,No protections
Egypt,EGY,1986,No protections
Egypt,EGY,1987,No protections
Egypt,EGY,1988,No protections
Egypt,EGY,1989,No protections
Egypt,EGY,1990,No protections
Egypt,EGY,1991,No protections
Egypt,EGY,1992,No protections
Egypt,EGY,1993,No protections
Egypt,EGY,1994,No protections
Egypt,EGY,1995,No protections
Egypt,EGY,1996,No protections
Egypt,EGY,1997,No protections
Egypt,EGY,1998,No protections
Egypt,EGY,1999,No protections
Egypt,EGY,2000,No protections
Egypt,EGY,2001,No protections
Egypt,EGY,2002,No protections
Egypt,EGY,2003,No protections
Egypt,EGY,2004,No protections
Egypt,EGY,2005,No protections
Egypt,EGY,2006,No protections
Egypt,EGY,2007,No protections
Egypt,EGY,2008,No protections
Egypt,EGY,2009,No protections
Egypt,EGY,2010,No protections
Egypt,EGY,2011,No protections
Egypt,EGY,2012,No protections
Egypt,EGY,2013,No protections
Egypt,EGY,2014,No protections
Egypt,EGY,2015,No protections
Egypt,EGY,2016,No protections
Egypt,EGY,2017,No protections
Egypt,EGY,2018,No protections
Egypt,EGY,2019,No protections
Egypt,EGY,2020,No protections
Egypt,EGY,2021,No protections
Egypt,EGY,2022,No protections
Egypt,EGY,2023,No protections
Egypt,EGY,2024,No protections
El Salvador,SLV,2024,Sexual orientation and gender identity
Equatorial Guinea,GNQ,1968,No protections
Equatorial Guinea,GNQ,1969,No protections
Equatorial Guinea,GNQ,1970,No protections
Equatorial Guinea,GNQ,1971,No protections
Equatorial Guinea,GNQ,1972,No protections
Equatorial Guinea,GNQ,1973,No protections
Equatorial Guinea,GNQ,1974,No protections
Equatorial Guinea,GNQ,1975,No protections
Equatorial Guinea,GNQ,1976,No protections
Equatorial Guinea,GNQ,1977,No protections
Equatorial Guinea,GNQ,1978,No protections
Equatorial Guinea,GNQ,1979,No protections
Equatorial Guinea,GNQ,1980,No protections
Equatorial Guinea,GNQ,1981,No protections
Equatorial Guinea,GNQ,1982,No protections
Equatorial Guinea,GNQ,1983,No protections
Equatorial Guinea,GNQ,1984,No protections
Equatorial Guinea,GNQ,1985,No protections
Equatorial Guinea,GNQ,1986,No protections
Equatorial Guinea,GNQ,1987,No protections
Equatorial Guinea,GNQ,1988,No protections
Equatorial Guinea,GNQ,1989,No protections
Equatorial Guinea,GNQ,1990,No protections
Equatorial Guinea,GNQ,1991,No protections
Equatorial Guinea,GNQ,1992,No protections
Equatorial Guinea,GNQ,1993,No protections
Equatorial Guinea,GNQ,1994,No protections
Equatorial Guinea,GNQ,1995,No protections
Equatorial Guinea,GNQ,1996,No protections
Equatorial Guinea,GNQ,1997,No protections
Equatorial Guinea,GNQ,1998,No protections
Equatorial Guinea,GNQ,1999,No protections
Equatorial Guinea,GNQ,2000,No protections
Equatorial Guinea,GNQ,2001,No protections
Equatorial Guinea,GNQ,2002,No protections
Equatorial Guinea,GNQ,2003,No protections
Equatorial Guinea,GNQ,2004,No protections
Equatorial Guinea,GNQ,2005,No protections
Equatorial Guinea,GNQ,2006,No protections
Equatorial Guinea,GNQ,2007,No protections
Equatorial Guinea,GNQ,2008,No protections
Equatorial Guinea,GNQ,2009,No protections
Equatorial Guinea,GNQ,2010,No protections
Equatorial Guinea,GNQ,2011,No protections
Equatorial Guinea,GNQ,2012,No protections
Equatorial Guinea,GNQ,2013,No protections
Equatorial Guinea,GNQ,2014,No protections
Equatorial Guinea,GNQ,2015,No protections
Equatorial Guinea,GNQ,2016,No protections
Equatorial Guinea,GNQ,2017,No protections
Equatorial Guinea,GNQ,2018,No protections
Equatorial Guinea,GNQ,2019,No protections
Equatorial Guinea,GNQ,2020,No protections
Equatorial Guinea,GNQ,2021,No protections
Equatorial Guinea,GNQ,2022,No protections
Equatorial Guinea,GNQ,2023,No protections
Equatorial Guinea,GNQ,2024,No protections
Eritrea,ERI,1957,No protections
Eritrea,ERI,1958,No protections
Eritrea,ERI,1959,No protections
Eritrea,ERI,1960,No protections
Eritrea,ERI,1961,No protections
Eritrea,ERI,1962,No protections
Eritrea,ERI,1963,No protections
Eritrea,ERI,1964,No protections
Eritrea,ERI,1965,No protections
Eritrea,ERI,1966,No protections
Eritrea,ERI,1967,No protections
Eritrea,ERI,1968,No protections
Eritrea,ERI,1969,No protections
Eritrea,ERI,1970,No protections
Eritrea,ERI,1971,No protections
Eritrea,ERI,1972,No protections
Eritrea,ERI,1973,No protections
Eritrea,ERI,1974,No protections
Eritrea,ERI,1975,No protections
Eritrea,ERI,1976,No protections
Eritrea,ERI,1977,No protections
Eritrea,ERI,1978,No protections
Eritrea,ERI,1979,No protections
Eritrea,ERI,1980,No protections
Eritrea,ERI,1981,No protections
Eritrea,ERI,1982,No protections
Eritrea,ERI,1983,No protections
Eritrea,ERI,1984,No protections
Eritrea,ERI,1985,No protections
Eritrea,ERI,1986,No protections
Eritrea,ERI,1987,No protections
Eritrea,ERI,1988,No protections
Eritrea,ERI,1989,No protections
Eritrea,ERI,1990,No protections
Eritrea,ERI,1991,No protections
Eritrea,ERI,1992,No protections
Eritrea,ERI,1993,No protections
Eritrea,ERI,1994,No protections
Eritrea,ERI,1995,No protections
Eritrea,ERI,1996,No protections
Eritrea,ERI,1997,No protections
Eritrea,ERI,1998,No protections
Eritrea,ERI,1999,No protections
Eritrea,ERI,2000,No protections
Eritrea,ERI,2001,No protections
Eritrea,ERI,2002,No protections
Eritrea,ERI,2003,No protections
Eritrea,ERI,2004,No protections
Eritrea,ERI,2005,No protections
Eritrea,ERI,2006,No protections
Eritrea,ERI,2007,No protections
Eritrea,ERI,2008,No protections
Eritrea,ERI,2009,No protections
Eritrea,ERI,2010,No protections
Eritrea,ERI,2011,No protections
Eritrea,ERI,2012,No protections
Eritrea,ERI,2013,No protections
Eritrea,ERI,2014,No protections
Eritrea,ERI,2015,No protections
Eritrea,ERI,2016,No protections
Eritrea,ERI,2017,No protections
Eritrea,ERI,2018,No protections
Eritrea,ERI,2019,No protections
Eritrea,ERI,2020,No protections
Eritrea,ERI,2021,No protections
Eritrea,ERI,2022,No protections
Eritrea,ERI,2023,No protections
Eritrea,ERI,2024,No protections
Estonia,EST,2009,Sexual orientation and gender identity
Estonia,EST,2010,Sexual orientation and gender identity
Estonia,EST,2011,Sexual orientation and gender identity
Estonia,EST,2012,Sexual orientation and gender identity
Estonia,EST,2013,Sexual orientation and gender identity
Estonia,EST,2014,Sexual orientation and gender identity
Estonia,EST,2015,Sexual orientation and gender identity
Estonia,EST,2016,Sexual orientation and gender identity
Estonia,EST,2017,Sexual orientation and gender identity
Estonia,EST,2018,Sexual orientation and gender identity
Estonia,EST,2019,Sexual orientation and gender identity
Estonia,EST,2020,Sexual orientation and gender identity
Estonia,EST,2021,Sexual orientation and gender identity
Estonia,EST,2022,Sexual orientation and gender identity
Estonia,EST,2023,Sexual orientation and gender identity
Estonia,EST,2024,Sexual orientation and gender identity
Eswatini,SWZ,1950,No protections
Eswatini,SWZ,1951,No protections
Eswatini,SWZ,1952,No protections
Eswatini,SWZ,1953,No protections
Eswatini,SWZ,1954,No protections
Eswatini,SWZ,1955,No protections
Eswatini,SWZ,1956,No protections
Eswatini,SWZ,1957,No protections
Eswatini,SWZ,1958,No protections
Eswatini,SWZ,1959,No protections
Eswatini,SWZ,1960,No protections
Eswatini,SWZ,1961,No protections
Eswatini,SWZ,1962,No protections
Eswatini,SWZ,1963,No protections
Eswatini,SWZ,1964,No protections
Eswatini,SWZ,1965,No protections
Eswatini,SWZ,1966,No protections
Eswatini,SWZ,1967,No protections
Eswatini,SWZ,1968,No protections
Eswatini,SWZ,1969,No protections
Eswatini,SWZ,1970,No protections
Eswatini,SWZ,1971,No protections
Eswatini,SWZ,1972,No protections
Eswatini,SWZ,1973,No protections
Eswatini,SWZ,1974,No protections
Eswatini,SWZ,1975,No protections
Eswatini,SWZ,1976,No protections
Eswatini,SWZ,1977,No protections
Eswatini,SWZ,1978,No protections
Eswatini,SWZ,1979,No protections
Eswatini,SWZ,1980,No protections
Eswatini,SWZ,1981,No protections
Eswatini,SWZ,1982,No protections
Eswatini,SWZ,1983,No protections
Eswatini,SWZ,1984,No protections
Eswatini,SWZ,1985,No protections
Eswatini,SWZ,1986,No protections
Eswatini,SWZ,1987,No protections
Eswatini,SWZ,1988,No protections
Eswatini,SWZ,1989,No protections
Eswatini,SWZ,1990,No protections
Eswatini,SWZ,1991,No protections
Eswatini,SWZ,1992,No protections
Eswatini,SWZ,1993,No protections
Eswatini,SWZ,1994,No protections
Eswatini,SWZ,1995,No protections
Eswatini,SWZ,1996,No protections
Eswatini,SWZ,1997,No protections
Eswatini,SWZ,1998,No protections
Eswatini,SWZ,1999,No protections
Eswatini,SWZ,2000,No protections
Eswatini,SWZ,2001,No protections
Eswatini,SWZ,2002,No protections
Eswatini,SWZ,2003,No protections
Eswatini,SWZ,2004,No protections
Eswatini,SWZ,2005,No protections
Eswatini,SWZ,2006,No protections
Eswatini,SWZ,2007,No protections
Eswatini,SWZ,2008,No protections
Eswatini,SWZ,2009,No protections
Eswatini,SWZ,2010,No protections
Eswatini,SWZ,2011,No protections
Eswatini,SWZ,2012,No protections
Eswatini,SWZ,2013,No protections
Eswatini,SWZ,2014,No protections
Eswatini,SWZ,2015,No protections
Eswatini,SWZ,2016,No protections
Eswatini,SWZ,2017,No protections
Eswatini,SWZ,2018,No protections
Eswatini,SWZ,2019,No protections
Eswatini,SWZ,2020,No protections
Eswatini,SWZ,2021,No protections
Eswatini,SWZ,2022,No protections
Eswatini,SWZ,2023,No protections
Eswatini,SWZ,2024,No protections
Ethiopia,ETH,2024,No protections
Fiji,FJI,2007,Sexual orientation only
Fiji,FJI,2008,Sexual orientation only
Fiji,FJI,2009,Sexual orientation only
Fiji,FJI,2010,Sexual orientation only
Fiji,FJI,2011,Sexual orientation only
Fiji,FJI,2012,Sexual orientation only
Fiji,FJI,2013,Sexual orientation only
Fiji,FJI,2014,Sexual orientation only
Fiji,FJI,2015,Sexual orientation only
Fiji,FJI,2016,Sexual orientation only
Fiji,FJI,2017,Sexual orientation only
Fiji,FJI,2018,Sexual orientation only
Fiji,FJI,2019,Sexual orientation only
Fiji,FJI,2020,Sexual orientation only
Fiji,FJI,2021,Sexual orientation only
Fiji,FJI,2022,Sexual orientation only
Fiji,FJI,2023,Sexual orientation only
Fiji,FJI,2024,Sexual orientation only
Finland,FIN,2004,Sexual orientation and gender identity
Finland,FIN,2005,Sexual orientation and gender identity
Finland,FIN,2006,Sexual orientation and gender identity
Finland,FIN,2007,Sexual orientation and gender identity
Finland,FIN,2008,Sexual orientation and gender identity
Finland,FIN,2009,Sexual orientation and gender identity
Finland,FIN,2010,Sexual orientation and gender identity
Finland,FIN,2011,Sexual orientation and gender identity
Finland,FIN,2012,Sexual orientation and gender identity
Finland,FIN,2013,Sexual orientation and gender identity
Finland,FIN,2014,Sexual orientation and gender identity
Finland,FIN,2015,Sexual orientation and gender identity
Finland,FIN,2016,Sexual orientation and gender identity
Finland,FIN,2017,Sexual orientation and gender identity
Finland,FIN,2018,Sexual orientation and gender identity
Finland,FIN,2019,Sexual orientation and gender identity
Finland,FIN,2020,Sexual orientation and gender identity
Finland,FIN,2021,Sexual orientation and gender identity
Finland,FIN,2022,Sexual orientation and gender identity
Finland,FIN,2023,Sexual orientation and gender identity
Finland,FIN,2024,Sexual orientation and gender identity
France,FRA,2000,Sexual orientation only
France,FRA,2001,Sexual orientation only
France,FRA,2002,Sexual orientation only
France,FRA,2003,Sexual orientation only
France,FRA,2004,Sexual orientation only
France,FRA,2005,Sexual orientation only
France,FRA,2006,Sexual orientation only
France,FRA,2007,Sexual orientation only
France,FRA,2008,Sexual orientation only
France,FRA,2009,Sexual orientation only
France,FRA,2010,Sexual orientation only
France,FRA,2011,Sexual orientation only
France,FRA,2012,Sexual orientation and gender identity
France,FRA,2013,Sexual orientation and gender identity
France,FRA,2014,Sexual orientation and gender identity
France,FRA,2015,Sexual orientation and gender identity
France,FRA,2016,Sexual orientation and gender identity
France,FRA,2017,Sexual orientation and gender identity
France,FRA,2018,Sexual orientation and gender identity
France,FRA,2019,Sexual orientation and gender identity
France,FRA,2020,Sexual orientation and gender identity
France,FRA,2021,Sexual orientation and gender identity
France,FRA,2022,Sexual orientation and gender identity
France,FRA,2023,Sexual orientation and gender identity
France,FRA,2024,Sexual orientation and gender identity
Gabon,GAB,2024,No protections
Gambia,GMB,2024,No protections
Georgia,GEO,2014,Sexual orientation and gender identity
Georgia,GEO,2015,Sexual orientation and gender identity
Georgia,GEO,2016,Sexual orientation and gender identity
Georgia,GEO,2017,Sexual orientation and gender identity
Georgia,GEO,2018,Sexual orientation and gender identity
Georgia,GEO,2019,Sexual orientation and gender identity
Georgia,GEO,2020,Sexual orientation and gender identity
Georgia,GEO,2021,Sexual orientation and gender identity
Georgia,GEO,2022,Sexual orientation and gender identity
Georgia,GEO,2023,Sexual orientation and gender identity
Georgia,GEO,2024,Sexual orientation and gender identity
Germany,DEU,2006,Sexual orientation and gender identity
Germany,DEU,2007,Sexual orientation and gender identity
Germany,DEU,2008,Sexual orientation and gender identity
Germany,DEU,2009,Sexual orientation and gender identity
Germany,DEU,2010,Sexual orientation and gender identity
Germany,DEU,2011,Sexual orientation and gender identity
Germany,DEU,2012,Sexual orientation and gender identity
Germany,DEU,2013,Sexual orientation and gender identity
Germany,DEU,2014,Sexual orientation and gender identity
Germany,DEU,2015,Sexual orientation and gender identity
Germany,DEU,2016,Sexual orientation and gender identity
Germany,DEU,2017,Sexual orientation and gender identity
Germany,DEU,2018,Sexual orientation and gender identity
Germany,DEU,2019,Sexual orientation and gender identity
Germany,DEU,2020,Sexual orientation and gender identity
Germany,DEU,2021,Sexual orientation and gender identity
Germany,DEU,2022,Sexual orientation and gender identity
Germany,DEU,2023,Sexual orientation and gender identity
Germany,DEU,2024,Sexual orientation and gender identity
Ghana,GHA,2024,No protections
Greece,GRC,2005,Sexual orientation only
Greece,GRC,2006,Sexual orientation only
Greece,GRC,2007,Sexual orientation only
Greece,GRC,2008,Sexual orientation only
Greece,GRC,2009,Sexual orientation only
Greece,GRC,2010,Sexual orientation only
Greece,GRC,2011,Sexual orientation only
Greece,GRC,2012,Sexual orientation only
Greece,GRC,2013,Sexual orientation only
Greece,GRC,2014,Sexual orientation only
Greece,GRC,2015,Sexual orientation only
Greece,GRC,2016,Sexual orientation and gender identity
Greece,GRC,2017,Sexual orientation and gender identity
Greece,GRC,2018,Sexual orientation and gender identity
Greece,GRC,2019,Sexual orientation and gender identity
Greece,GRC,2020,Sexual orientation and gender identity
Greece,GRC,2021,Sexual orientation and gender identity
Greece,GRC,2022,Sexual orientation and gender identity
Greece,GRC,2023,Sexual orientation and gender identity
Greece,GRC,2024,Sexual orientation and gender identity
Grenada,GRD,2024,Sexual orientation and gender identity
Guatemala,GTM,2024,No protections
Guinea,GIN,1988,No protections
Guinea,GIN,1989,No protections
Guinea,GIN,1990,No protections
Guinea,GIN,1991,No protections
Guinea,GIN,1992,No protections
Guinea,GIN,1993,No protections
Guinea,GIN,1994,No protections
Guinea,GIN,1995,No protections
Guinea,GIN,1996,No protections
Guinea,GIN,1997,No protections
Guinea,GIN,1998,No protections
Guinea,GIN,1999,No protections
Guinea,GIN,2000,No protections
Guinea,GIN,2001,No protections
Guinea,GIN,2002,No protections
Guinea,GIN,2003,No protections
Guinea,GIN,2004,No protections
Guinea,GIN,2005,No protections
Guinea,GIN,2006,No protections
Guinea,GIN,2007,No protections
Guinea,GIN,2008,No protections
Guinea,GIN,2009,No protections
Guinea,GIN,2010,No protections
Guinea,GIN,2011,No protections
Guinea,GIN,2012,No protections
Guinea,GIN,2013,No protections
Guinea,GIN,2014,No protections
Guinea,GIN,2015,No protections
Guinea,GIN,2016,No protections
Guinea,GIN,2017,No protections
Guinea,GIN,2018,No protections
Guinea,GIN,2019,No protections
Guinea,GIN,2020,No protections
Guinea,GIN,2021,No protections
Guinea,GIN,2022,No protections
Guinea,GIN,2023,No protections
Guinea,GIN,2024,No protections
Guinea-Bissau,GNB,2024,No protections
Guyana,GUY,1980,No protections
Guyana,GUY,1981,No protections
Guyana,GUY,1982,No protections
Guyana,GUY,1983,No protections
Guyana,GUY,1984,No protections
Guyana,GUY,1985,No protections
Guyana,GUY,1986,No protections
Guyana,GUY,1987,No protections
Guyana,GUY,1988,No protections
Guyana,GUY,1989,No protections
Guyana,GUY,1990,No protections
Guyana,GUY,1991,No protections
Guyana,GUY,1992,No protections
Guyana,GUY,1993,No protections
Guyana,GUY,1994,No protections
Guyana,GUY,1995,No protections
Guyana,GUY,1996,No protections
Guyana,GUY,1997,No protections
Guyana,GUY,1998,No protections
Guyana,GUY,1999,No protections
Guyana,GUY,2000,No protections
Guyana,GUY,2001,No protections
Guyana,GUY,2002,No protections
Guyana,GUY,2003,No protections
Guyana,GUY,2004,No protections
Guyana,GUY,2005,No protections
Guyana,GUY,2006,No protections
Guyana,GUY,2007,No protections
Guyana,GUY,2008,No protections
Guyana,GUY,2009,No protections
Guyana,GUY,2010,No protections
Guyana,GUY,2011,No protections
Guyana,GUY,2012,No protections
Guyana,GUY,2013,No protections
Guyana,GUY,2014,No protections
Guyana,GUY,2015,No protections
Guyana,GUY,2016,No protections
Guyana,GUY,2017,No protections
Guyana,GUY,2018,No protections
Guyana,GUY,2019,No protections
Guyana,GUY,2020,No protections
Guyana,GUY,2021,No protections
Guyana,GUY,2022,No protections
Guyana,GUY,2023,No protections
Guyana,GUY,2024,No protections
Haiti,HTI,2024,No protections
Honduras,HND,2013,Sexual orientation and gender identity
Honduras,HND,2014,Sexual orientation and gender identity
Honduras,HND,2015,Sexual orientation and gender identity
Honduras,HND,2016,Sexual orientation and gender identity
Honduras,HND,2017,Sexual orientation and gender identity
Honduras,HND,2018,Sexual orientation and gender identity
Honduras,HND,2019,Sexual orientation and gender identity
Honduras,HND,2020,Sexual orientation and gender identity
Honduras,HND,2021,Sexual orientation and gender identity
Honduras,HND,2022,Sexual orientation and gender identity
Honduras,HND,2023,Sexual orientation and gender identity
Honduras,HND,2024,Sexual orientation and gender identity
Hungary,HUN,1998,Sexual orientation and gender identity
Hungary,HUN,1999,Sexual orientation and gender identity
Hungary,HUN,2000,Sexual orientation and gender identity
Hungary,HUN,2001,Sexual orientation and gender identity
Hungary,HUN,2002,Sexual orientation and gender identity
Hungary,HUN,2003,Sexual orientation and gender identity
Hungary,HUN,2004,Sexual orientation and gender identity
Hungary,HUN,2005,Sexual orientation and gender identity
Hungary,HUN,2006,Sexual orientation and gender identity
Hungary,HUN,2007,Sexual orientation and gender identity
Hungary,HUN,2008,Sexual orientation and gender identity
Hungary,HUN,2009,Sexual orientation and gender identity
Hungary,HUN,2010,Sexual orientation and gender identity
Hungary,HUN,2011,Sexual orientation and gender identity
Hungary,HUN,2012,Sexual orientation and gender identity
Hungary,HUN,2013,Sexual orientation and gender identity
Hungary,HUN,2014,Sexual orientation and gender identity
Hungary,HUN,2015,Sexual orientation and gender identity
Hungary,HUN,2016,Sexual orientation and gender identity
Hungary,HUN,2017,Sexual orientation and gender identity
Hungary,HUN,2018,Sexual orientation and gender identity
Hungary,HUN,2019,Sexual orientation and gender identity
Hungary,HUN,2020,Sexual orientation and gender identity
Hungary,HUN,2021,Sexual orientation and gender identity
Hungary,HUN,2022,Sexual orientation and gender identity
Hungary,HUN,2023,Sexual orientation and gender identity
Hungary,HUN,2024,Sexual orientation and gender identity
Iceland,ISL,1996,Sexual orientation and gender identity
Iceland,ISL,1997,Sexual orientation and gender identity
Iceland,ISL,1998,Sexual orientation and gender identity
Iceland,ISL,1999,Sexual orientation and gender identity
Iceland,ISL,2000,Sexual orientation and gender identity
Iceland,ISL,2001,Sexual orientation and gender identity
Iceland,ISL,2002,Sexual orientation and gender identity
Iceland,ISL,2003,Sexual orientation and gender identity
Iceland,ISL,2004,Sexual orientation and gender identity
Iceland,ISL,2005,Sexual orientation and gender identity
Iceland,ISL,2006,Sexual orientation and gender identity
Iceland,ISL,2007,Sexual orientation and gender identity
Iceland,ISL,2008,Sexual orientation and gender identity
Iceland,ISL,2009,Sexual orientation and gender identity
Iceland,ISL,2010,Sexual orientation and gender identity
Iceland,ISL,2011,Sexual orientation and gender identity
Iceland,ISL,2012,Sexual orientation and gender identity
Iceland,ISL,2013,Sexual orientation and gender identity
Iceland,ISL,2014,Sexual orientation and gender identity
Iceland,ISL,2015,Sexual orientation and gender identity
Iceland,ISL,2016,Sexual orientation and gender identity
Iceland,ISL,2017,Sexual orientation and gender identity
Iceland,ISL,2018,Sexual orientation and gender identity
Iceland,ISL,2019,Sexual orientation and gender identity
Iceland,ISL,2020,Sexual orientation and gender identity
Iceland,ISL,2021,Sexual orientation and gender identity
Iceland,ISL,2022,Sexual orientation and gender identity
Iceland,ISL,2023,Sexual orientation and gender identity
Iceland,ISL,2024,Sexual orientation and gender identity
India,IND,2020,Gender identity only
India,IND,2021,Gender identity only
India,IND,2022,Gender identity only
India,IND,2023,Gender identity only
India,IND,2024,Gender identity only
Indonesia,IDN,2024,No protections
Iran,IRN,1979,No protections
Iran,IRN,1980,No protections
Iran,IRN,1981,No protections
Iran,IRN,1982,No protections
Iran,IRN,1983,No protections
Iran,IRN,1984,No protections
Iran,IRN,1985,No protections
